rank,id,owned_by,intelligence,costPerTask,aa_slug,vision,contextWindow
1,cmc/xiaomi/mimo-v2.5,cmc,38.0433645155222,0.010359306953646182,mimo-v2-5-0424,True,1048576
2,ocg/mimo-v2.5,ocg,38.0433645155222,0.010359306953646182,mimo-v2-5-0424,True,1048576
3,ocg/hy3,ocg,42.2134908724756,0.03574070875754976,hy3,False,262144
4,cmc/tencent/hy3-paid,cmc,42.2134908724756,0.03574070875754976,hy3,False,262144
5,openrouter/thinkingmachines/inkling-small:free,openrouter,41.1806598798293,0.07353375676315574,inkling-small,False,128000
6,openrouter/inclusionai/ling-3.0-flash-fin:free,openrouter,37.820825176113,0.03766412774562829,ling-3-0-flash,False,128000
7,cmc/MiniMaxAI/MiniMax-M2.7,cmc,38.8713536464198,0.07772914284734003,minimax-m2-7,False,204800
8,cmc/minimax/minimax-m2.7-free,cmc,38.8713536464198,0.07772914284734003,minimax-m2-7,False,204800
9,ocg/minimax-m2.7,ocg,38.8713536464198,0.07772914284734003,minimax-m2-7,False,204800
10,cmc/z-ai/glm-5.3-flash,cmc,57.4592004791323,0.0868525314872083,glm-5-3-flash,False,200000
11,ocg/glm-5.3-flash,ocg,57.4592004791323,0.0868525314872083,glm-5-3-flash,False,200000
12,cf/@cf/moonshotai/kimi-k2.5,cf,36.0227407548798,0.09638405919581741,kimi-k2-5,True,262144
13,cmc/moonshotai/Kimi-K2.5,cmc,36.0227407548798,0.09638405919581741,kimi-k2-5,True,262144
14,ocg/qwen3.8-flash,ocg,55.8139871116362,0.09701942971977867,qwen3-8-flash-next,False,262144
15,cmc/deepseek/deepseek-v4-flash,cmc,51.7665776089032,0.11215889736791404,deepseek-v4-flash,False,1000000
16,ocg/deepseek-v4-flash,ocg,51.7665776089032,0.11215889736791404,deepseek-v4-flash,False,1000000
17,cmc/deepseek/deepseek-v4-flash-vision-exp,cmc,51.4736425212072,0.11635843000544639,deepseek-v4-flash-vision,False,1000000
18,ocg/deepseek-v4-flash-vision-exp,ocg,51.4736425212072,0.11635843000544639,deepseek-v4-flash-vision,False,1000000
19,ocg/longcat-2.0,ocg,33.9692584853255,0.12129322742338783,longcat-2-0,False,200000
20,openrouter/minimax/minimax-m3:free,openrouter,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
21,cmc/MiniMaxAI/MiniMax-M3,cmc,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
22,cmc/minimax/minimax-m3-free,cmc,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
23,ocg/minimax-m3,ocg,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
24,ocg/qwen3.7-plus,ocg,39.3745992994168,0.17028705303604513,qwen3-7-plus,True,1000000
25,cmc/moonshotai/Kimi-K2.7-Code,cmc,43.0244715223736,0.22197474982635537,kimi-k2-7-code,True,262144
26,ocg/kimi-k2.7-code,ocg,43.0244715223736,0.22197474982635537,kimi-k2-7-code,True,262144
27,cmc/deepseek/deepseek-v4-pro,cmc,53.1976849297815,0.26526849335458225,deepseek-v4-pro,False,1000000
28,ocg/deepseek-v4-pro,ocg,53.1976849297815,0.26526849335458225,deepseek-v4-pro,False,1000000
29,cmc/zai-org/GLM-5.1,cmc,40.9675355215124,0.2866223689319792,glm-5-1,False,200000
30,ocg/glm-5.1,ocg,40.9675355215124,0.2866223689319792,glm-5-1,False,200000
31,gemini/gemini-3.1-pro-preview,gemini,47.7383260259131,0.3345647504982565,gemini-3-1-pro-preview,True,1048576
32,openrouter/thinkingmachines/inkling:free,openrouter,42.2947721285326,0.3388848141344296,inkling,False,200000
33,cmc/Qwen/Qwen3.6-Plus,cmc,40.4880703723726,0.3568972800744663,qwen3-6-plus,True,1000000
34,ocg/qwen3.6-plus,ocg,40.4880703723726,0.3568972800744663,qwen3-6-plus,True,1000000
35,ollama/nemotron-3-ultra,ollama,38.3185469149774,0.38266237297499145,nvidia-nemotron-3-ultra-550b-a55b,False,128000
36,openrouter/nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,38.3185469149774,0.38266237297499145,nvidia-nemotron-3-ultra-550b-a55b,False,128000
37,cf/@cf/moonshotai/kimi-k2.6,cf,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
38,cmc/moonshotai/Kimi-K2.6,cmc,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
39,ocg/kimi-k2.6,ocg,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
40,openrouter/z-ai/glm-5.2:free,openrouter,52.6409563457385,0.4445310520749471,glm-5-2,False,200000
41,cmc/zai-org/GLM-5.2-Fast,cmc,52.6409563457385,0.4445310520749471,glm-5-2,False,200000
42,ocg/glm-5.2,ocg,52.6409563457385,0.4445310520749471,glm-5-2,False,200000
43,ocg/qwen3.7-max,ocg,46.71222295444,0.67923292156161,qwen3-7-max,False,1000000
44,ocg/glm-5.3,ocg,59.5134408119521,0.6829307999945118,glm-5-3,False,200000
45,ocg/kimi-k3,ocg,59.6994671342592,0.8374574917584584,kimi-k3,True,1048576
46,ocg/qwen3.8-max,ocg,58.0774404479668,0.9133365716363483,qwen3-8-max,False,1000000
47,cmc/Qwen/Qwen3.6-Max-Preview,cmc,41.074,,qwen3-6-max,False,1000000
48,cmc/zai-org/GLM-5,cmc,40.55415,,glm-5,False,200000
49,cmc/MiniMaxAI/MiniMax-M2.5,cmc,34.474081034775786,,minimax-m2-5,False,200000
50,ocg/minimax-m2.5,ocg,34.474081034775786,,minimax-m2-5,False,200000
