rank,id,owned_by,intelligence,costPerTask,aa_slug,vision,contextWindow
1,cmc/meta/muse-spark-1.2-contributor,cmc,56.7615911905642,0.02,muse-spark-1-2,False,200000
2,ocg/muse-spark-1.2-contributor,ocg,56.7615911905642,0.02,muse-spark-1-2,False,200000
3,openrouter/z-ai/glm-5.2:free,openrouter,52.6409563457385,0.4445310520749471,glm-5-2,False,200000
4,cf/@cf/moonshotai/kimi-k2.6,cf,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
5,cmc/deepseek/deepseek-v4-flash,cmc,51.7665776089032,0.11215889736791404,deepseek-v4-flash,False,1000000
6,ocg/deepseek-v4-flash,ocg,51.7665776089032,0.11215889736791404,deepseek-v4-flash,False,1000000
7,gemini/gemini-3.1-pro-preview,gemini,47.7383260259131,0.3345647504982565,gemini-3-1-pro-preview,True,1048576
8,openrouter/minimax/minimax-m3:free,openrouter,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
9,cmc/minimax/minimax-m3-free,cmc,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
10,cmc/tencent/hy3-paid,cmc,42.2134908724756,0.03574070875754976,hy3,False,262144
11,ocg/hy3,ocg,42.2134908724756,0.03574070875754976,hy3,False,262144
12,openrouter/thinkingmachines/inkling:free,openrouter,42.2947721285326,0.3388848141344296,inkling,False,200000
13,cmc/MiniMaxAI/MiniMax-M3,cmc,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
14,ocg/minimax-m3,ocg,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
15,cmc/moonshotai/Kimi-K2.7-Code,cmc,43.0244715223736,0.22197474982635537,kimi-k2-7-code,True,262144
16,ocg/kimi-k2.7-code,ocg,43.0244715223736,0.22197474982635537,kimi-k2-7-code,True,262144
17,cmc/xiaomi/mimo-v2.5-pro,cmc,42.8796821546836,0.03390845289072561,mimo-v2-5-pro,True,1048576
18,ocg/mimo-v2.5-pro,ocg,42.8796821546836,0.03390845289072561,mimo-v2-5-pro,True,1048576
19,openrouter/thinkingmachines/inkling-small:free,openrouter,41.1806598798293,0.07353375676315574,inkling-small,False,128000
20,cmc/deepseek/deepseek-v4-pro,cmc,53.1976849297815,0.26526849335458225,deepseek-v4-pro,False,1000000
21,ocg/deepseek-v4-pro,ocg,53.1976849297815,0.26526849335458225,deepseek-v4-pro,False,1000000
22,cmc/zai-org/GLM-5.1,cmc,40.9675355215124,0.2866223689319792,glm-5-1,False,200000
23,ocg/glm-5.1,ocg,40.9675355215124,0.2866223689319792,glm-5-1,False,200000
24,cmc/Qwen/Qwen3.6-Plus,cmc,40.4880703723726,0.3568972800744663,qwen3-6-plus,True,1000000
25,ocg/qwen3.6-plus,ocg,40.4880703723726,0.3568972800744663,qwen3-6-plus,True,1000000
26,cmc/moonshotai/Kimi-K2.6,cmc,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
27,ocg/kimi-k2.6,ocg,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
28,cmc/zai-org/GLM-5.2-Fast,cmc,52.6409563457385,0.4445310520749471,glm-5-2,False,200000
29,ocg/glm-5.2,ocg,52.6409563457385,0.4445310520749471,glm-5-2,False,200000
30,ocg/qwen3.7-max,ocg,46.71222295444,0.67923292156161,qwen3-7-max,False,1000000
31,ocg/glm-5.3,ocg,59.5134408119521,0.6829307999945118,glm-5-3,False,200000
32,ocg/kimi-k3,ocg,59.6994671342592,0.8374574917584584,kimi-k3,True,1048576
33,ocg/qwen3.8-max,ocg,58.0774404479668,0.9133365716363483,qwen3-8-max,False,1000000
34,cmc/Qwen/Qwen3.6-Max-Preview,cmc,41.074,,qwen3-6-max,False,1000000
35,cmc/zai-org/GLM-5,cmc,40.55415,,glm-5,False,200000
