rank,id,owned_by,intelligence,costPerTask,aa_slug,vision,contextWindow
1,openrouter/z-ai/glm-5.2:free,openrouter,52.6409563457385,0.4445310520749471,glm-5-2,False,200000
2,gemini/gemini-3.1-pro-preview,gemini,47.7383260259131,0.3345647504982565,gemini-3-1-pro-preview,True,1048576
3,openrouter/minimax/minimax-m3:free,openrouter,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
4,cf/@cf/moonshotai/kimi-k2.6,cf,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
5,openrouter/thinkingmachines/inkling:free,openrouter,42.2947721285326,0.3388848141344296,inkling,False,200000
6,openrouter/thinkingmachines/inkling-small:free,openrouter,41.1806598798293,0.07353375676315574,inkling-small,False,128000
7,ollama/nemotron-3-ultra,ollama,38.3185469149774,0.38266237297499145,nvidia-nemotron-3-ultra-550b-a55b,False,128000
8,openrouter/nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,38.3185469149774,0.38266237297499145,nvidia-nemotron-3-ultra-550b-a55b,False,128000
9,openrouter/inclusionai/ling-3.0-flash-fin:free,openrouter,37.820825176113,0.03766412774562829,ling-3-0-flash,False,128000
10,cf/@cf/moonshotai/kimi-k2.5,cf,36.0227407548798,0.09638405919581741,kimi-k2-5,True,262144
11,gemini/gemma-4-31b-it,gemini,29.6949678165957,0,gemma-4-31b,True,128000
12,ollama/gemma4:31b,ollama,29.6949678165957,0,gemma-4-31b,True,128000
13,openrouter/google/gemma-4-31b-it:free,openrouter,29.6949678165957,0,gemma-4-31b,True,128000
14,gemini/gemini-3-flash-preview,gemini,27.938225136834387,,gemini-3-flash,True,1048576
15,openrouter/google/gemma-4-26b-a4b-it:free,openrouter,26.0656023232983,0.03912654124783082,gemma-4-26b-a4b,True,128000
16,ollama/nemotron-3-super,ollama,25.6684845978586,0.22856096347482535,nvidia-nemotron-3-super-120b-a12b,False,128000
17,openrouter/nvidia/nemotron-3-super-120b-a12b:free,openrouter,25.6684845978586,0.22856096347482535,nvidia-nemotron-3-super-120b-a12b,False,128000
18,gemini/gemini-3.1-flash-lite-preview,gemini,25.6076097099382,0.04324611147116286,gemini-3-1-flash-lite-preview,True,1048576
19,ollama/gpt-oss:120b,ollama,24.126439151808,0.07272539301473413,gpt-oss-120b,False,128000
20,openrouter/nvidia/nemotron-3.5-lightning:free,openrouter,23.606237599256,0.07732079323498033,nemotron-3-5-lightning,False,128000
21,cf/@cf/zai-org/glm-4.7-flash,cf,23.284298431289574,,glm-4-7-flash,False,200000
22,openrouter/cohere/north-mini-code:free,openrouter,20.1690287982621,0,north-mini-code,False,200000
23,ollama/gpt-oss:20b,ollama,15.2251599944346,0.02498068399823657,gpt-oss-20b,False,128000
24,openrouter/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,openrouter,15.006841515636083,,nemotron-3-nano-omni-30b-a3b,False,128000
25,cf/@cf/mistralai/mistral-small-3.1-24b-instruct,cf,14.8667863104857,0.04431742828316981,mistral-small-3-1,False,128000
26,ollama/nemotron-3-nano:30b,ollama,14.537976286548,0.024889427328985605,nvidia-nemotron-3-nano-30b-a3b-reasoning,False,128000
27,cf/@cf/qwen/qwq-32b,cf,13.391963339078304,,qwq-32b,False,131072
28,cf/@cf/deepseek-ai/deepseek-r1-distill-qwen-32b,cf,10.964205576829057,,deepseek-r1-distill-qwen-32b,False,262144
29,cf/@cf/meta/llama-3.3-70b-instruct-fp8-fast,cf,9.26237834279053,,llama-3-3-instruct-70b,False,128000
30,openrouter/openrouter/free,openrouter,8.167627314682118,,qwen3-4b-instruct-reasoning,False,200000
31,cf/@cf/meta/llama-3.1-8b-instruct-awq,cf,7.398093964814081,,llama-3-1-instruct-8b,False,128000
32,cf/@cf/meta/llama-3.1-8b-instruct-fp8-fast,cf,7.398093964814081,,llama-3-1-instruct-8b,False,128000
33,cf/@cf/qwen/qwen2.5-coder-32b-instruct,cf,6.881261147068546,,qwen2-5-coder-32b-instruct,False,1000000
34,cf/@cf/meta/llama-3.1-70b-instruct-fp8-fast,cf,6.508940242603085,,llama-3-1-instruct-70b,False,128000
35,cf/@cf/meta/llama-3.2-3b-instruct,cf,3.87835237141565,,llama-3-2-instruct-3b,False,128000
36,cf/@cf/meta/llama-3.2-1b-instruct,cf,1,,llama-3-2-instruct-1b,False,128000
37,openrouter/dots-studio/dots-3-note-preview:free,openrouter,,,,False,200000
38,openrouter/google/lyria-3-clip-preview,openrouter,,,,False,200000
39,openrouter/google/lyria-3-pro-preview,openrouter,,,,False,200000
40,openrouter/poolside/laguna-s-2.1:free,openrouter,,,,False,200000
41,openrouter/poolside/laguna-xs-2.1:free,openrouter,,,,False,200000
