Id,owned_by,kind,vision,contextWindow
"free","combo","","False",""
"ocg/glm-5.2","ocg","","False","200000"
"ocg/glm-5.1","ocg","","False","200000"
"ocg/kimi-k2.7-code","ocg","","True","262144"
"ocg/kimi-k2.6","ocg","","True","262144"
"ocg/deepseek-v4-pro","ocg","","False","1000000"
"ocg/deepseek-v4-flash","ocg","","False","1000000"
"ocg/mimo-v2.5","ocg","","True","1048576"
"ocg/mimo-v2.5-pro","ocg","","True","1048576"
"ocg/minimax-m3","ocg","","True","1048576"
"ocg/minimax-m2.7","ocg","","False","204800"
"ocg/minimax-m2.5","ocg","","False","200000"
"ocg/qwen3.7-max","ocg","","False","1000000"
"ocg/qwen3.7-plus","ocg","","True","1000000"
"ocg/qwen3.6-plus","ocg","","True","1000000"
"ocg/glm-5.3-flash","ocg","","False","200000"
"ocg/glm-5.3","ocg","","False","200000"
"ocg/kimi-k3","ocg","","True","1048576"
"ocg/longcat-2.0","ocg","","False","200000"
"ocg/deepseek-v4-flash-vision-exp","ocg","","False","1000000"
"ocg/muse-spark-1.2-contributor","ocg","","False","200000"
"ocg/qwen3.8-max","ocg","","False","1000000"
"ocg/qwen3.8-flash","ocg","","False","262144"
"ocg/hy4-preview","ocg","","False","200000"
"ocg/hy3","ocg","","False","262144"
"ollama/gpt-oss:120b","ollama","","False","128000"
"ollama/gemma4:31b","ollama","","True","128000"
"ollama/gpt-oss:20b","ollama","","False","128000"
"ollama/nemotron-3-nano:30b","ollama","","False","128000"
"ollama/nemotron-3-super","ollama","","False","128000"
"ollama/nemotron-3-ultra","ollama","","False","128000"
"cmc/deepseek/deepseek-v4-pro","cmc","","False","1000000"
"cmc/deepseek/deepseek-v4-flash","cmc","","False","1000000"
"cmc/moonshotai/Kimi-K2.6","cmc","","True","262144"
"cmc/moonshotai/Kimi-K2.5","cmc","","True","262144"
"cmc/zai-org/GLM-5.1","cmc","","False","200000"
"cmc/zai-org/GLM-5","cmc","","False","200000"
"cmc/MiniMaxAI/MiniMax-M2.7","cmc","","False","204800"
"cmc/MiniMaxAI/MiniMax-M2.5","cmc","","False","200000"
"cmc/Qwen/Qwen3.6-Max-Preview","cmc","","False","1000000"
"cmc/Qwen/Qwen3.6-Plus","cmc","","True","1000000"
"cmc/stepfun/Step-3.5-Flash","cmc","","False","128000"
"cmc/deepseek/deepseek-v4-flash-vision-exp","cmc","","False","1000000"
"cmc/meta/muse-spark-1.2-contributor","cmc","","False","200000"
"cmc/minimax/minimax-m2.7-free","cmc","","False","204800"
"cmc/MiniMaxAI/MiniMax-M3","cmc","","True","1048576"
"cmc/minimax/minimax-m3-free","cmc","","True","1048576"
"cmc/moonshotai/Kimi-K2.7-Code","cmc","","True","262144"
"cmc/poolside/laguna-s-2.1-free","cmc","","False","200000"
"cmc/tencent/hy4-preview","cmc","","False","200000"
"cmc/tencent/hy3-paid","cmc","","False","262144"
"cmc/xiaomi/mimo-v2.5","cmc","","True","1048576"
"cmc/xiaomi/mimo-v2.5-pro","cmc","","True","1048576"
"cmc/zai-org/GLM-5.2-Fast","cmc","","False","200000"
"cmc/z-ai/glm-5.3-flash","cmc","","False","200000"
"cf/@cf/meta/llama-3.2-1b-instruct","cf","","False","128000"
"cf/@cf/meta/llama-3.2-3b-instruct","cf","","False","128000"
"cf/@cf/meta/llama-3.1-8b-instruct-fp8-fast","cf","","False","128000"
"cf/@cf/meta/llama-3.1-8b-instruct-awq","cf","","False","128000"
"cf/@cf/mistralai/mistral-small-3.1-24b-instruct","cf","","False","128000"
"cf/@cf/meta/llama-3.1-70b-instruct-fp8-fast","cf","","False","128000"
"cf/@cf/meta/llama-3.3-70b-instruct-fp8-fast","cf","","False","128000"
"cf/@cf/deepseek-ai/deepseek-r1-distill-qwen-32b","cf","","False","262144"
"cf/@cf/moonshotai/kimi-k2.5","cf","","True","262144"
"cf/@cf/moonshotai/kimi-k2.6","cf","","True","262144"
"cf/@cf/zai-org/glm-4.7-flash","cf","","False","200000"
"cf/@cf/qwen/qwq-32b","cf","","False","131072"
"cf/@cf/qwen/qwen2.5-coder-32b-instruct","cf","","False","1000000"
"gemini/gemini-3.1-pro-preview","gemini","","True","1048576"
"gemini/gemini-3.1-flash-lite-preview","gemini","","True","1048576"
"gemini/gemini-3-flash-preview","gemini","","True","1048576"
"gemini/gemma-4-31b-it","gemini","","True","128000"
"openrouter/thinkingmachines/inkling-small:free","openrouter","","False","128000"
