rank,id,owned_by,intelligence,costPerTask,aa_slug,vision,contextWindow
1,ollama/gemma4:31b,ollama,29.6949678165957,0,gemma-4-31b,True,128000
2,gemini/gemma-4-31b-it,gemini,29.6949678165957,0,gemma-4-31b,True,128000
3,openrouter/google/gemma-4-31b-it:free,openrouter,29.6949678165957,0,gemma-4-31b,True,128000
4,ocg/mimo-v2.5,ocg,38.0433645155222,0.010359306953646182,mimo-v2-5-0424,True,1048576
5,cmc/xiaomi/mimo-v2.5,cmc,38.0433645155222,0.010359306953646182,mimo-v2-5-0424,True,1048576
6,ocg/mimo-v2.5-pro,ocg,42.8796821546836,0.03390845289072561,mimo-v2-5-pro,True,1048576
7,cmc/xiaomi/mimo-v2.5-pro,cmc,42.8796821546836,0.03390845289072561,mimo-v2-5-pro,True,1048576
8,openrouter/google/gemma-4-26b-a4b-it:free,openrouter,26.0656023232983,0.03912654124783082,gemma-4-26b-a4b,True,128000
9,gemini/gemini-3.1-flash-lite-preview,gemini,25.6076097099382,0.04324611147116286,gemini-3-1-flash-lite-preview,True,1048576
10,cf/@cf/moonshotai/kimi-k2.5,cf,36.0227407548798,0.09638405919581741,kimi-k2-5,True,262144
11,cmc/moonshotai/Kimi-K2.5,cmc,36.0227407548798,0.09638405919581741,kimi-k2-5,True,262144
12,openrouter/minimax/minimax-m3:free,openrouter,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
13,ocg/minimax-m3,ocg,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
14,cmc/MiniMaxAI/MiniMax-M3,cmc,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
15,cmc/minimax/minimax-m3-free,cmc,45.3968506399702,0.13870974901890812,minimax-m3,True,1048576
16,ocg/qwen3.7-plus,ocg,39.3745992994168,0.17028705303604513,qwen3-7-plus,True,1000000
17,ocg/kimi-k2.7-code,ocg,43.0244715223736,0.22197474982635537,kimi-k2-7-code,True,262144
18,cmc/moonshotai/Kimi-K2.7-Code,cmc,43.0244715223736,0.22197474982635537,kimi-k2-7-code,True,262144
19,gemini/gemini-3.1-pro-preview,gemini,47.7383260259131,0.3345647504982565,gemini-3-1-pro-preview,True,1048576
20,ocg/qwen3.6-plus,ocg,40.4880703723726,0.3568972800744663,qwen3-6-plus,True,1000000
21,cmc/Qwen/Qwen3.6-Plus,cmc,40.4880703723726,0.3568972800744663,qwen3-6-plus,True,1000000
22,cf/@cf/moonshotai/kimi-k2.6,cf,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
23,ocg/kimi-k2.6,ocg,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
24,cmc/moonshotai/Kimi-K2.6,cmc,45.1382483763163,0.38861223350545604,kimi-k2-6,True,262144
25,ocg/kimi-k3,ocg,59.6994671342592,0.8374574917584584,kimi-k3,True,1048576
26,gemini/gemini-3-flash-preview,gemini,27.938225136834387,,gemini-3-flash,True,1048576
